date,macro_OECD_CLI_USA
1970-07-01,97.81306
1970-08-01,97.85154
1970-09-01,97.94428
1970-10-01,98.12047
1970-11-01,98.41434
1970-12-01,98.81816
1971-01-01,99.25796
1971-02-01,99.65057
1971-03-01,99.9437
1971-04-01,100.1342
1971-05-01,100.2317
1971-06-01,100.2655
1971-07-01,100.2726
1971-08-01,100.293
1971-09-01,100.3683
1971-10-01,100.5288
1971-11-01,100.7866
1971-12-01,101.1248
1972-01-01,101.479
1972-02-01,101.7954
1972-03-01,102.0431
1972-04-01,102.2257
1972-05-01,102.3657
1972-06-01,102.4893
1972-07-01,102.6292
1972-08-01,102.8067
1972-09-01,103.0028
1972-10-01,103.1865
1972-11-01,103.3331
1972-12-01,103.4109
1973-01-01,103.3983
1973-02-01,103.2861
1973-03-01,103.0714
1973-04-01,102.7703
1973-05-01,102.4172
1973-06-01,102.055
1973-07-01,101.7179
1973-08-01,101.4266
1973-09-01,101.1945
1973-10-01,101.0066
1973-11-01,100.8221
1973-12-01,100.6252
1974-01-01,100.4248
1974-02-01,100.1971
1974-03-01,99.92331
1974-04-01,99.58797
1974-05-01,99.19759
1974-06-01,98.76356
1974-07-01,98.29788
1974-08-01,97.80349
1974-09-01,97.29028
1974-10-01,96.80699
1974-11-01,96.39722
1974-12-01,96.12173
1975-01-01,96.03522
1975-02-01,96.12878
1975-03-01,96.374
1975-04-01,96.7403
1975-05-01,97.17007
1975-06-01,97.62247
1975-07-01,98.06983
1975-08-01,98.48931
1975-09-01,98.8787
1975-10-01,99.24828
1975-11-01,99.6096
1975-12-01,99.96946
1976-01-01,100.3134
1976-02-01,100.603
1976-03-01,100.809
1976-04-01,100.9324
1976-05-01,100.9854
1976-06-01,100.9924
1976-07-01,100.9748
1976-08-01,100.9474
1976-09-01,100.9362
1976-10-01,100.9624
1976-11-01,101.0477
1976-12-01,101.1862
1977-01-01,101.3507
1977-02-01,101.5198
1977-03-01,101.6686
1977-04-01,101.7679
1977-05-01,101.8113
1977-06-01,101.7991
1977-07-01,101.7422
1977-08-01,101.6596
1977-09-01,101.5761
1977-10-01,101.5061
1977-11-01,101.4508
1977-12-01,101.4155
1978-01-01,101.4107
1978-02-01,101.4465
1978-03-01,101.5522
1978-04-01,101.7013
1978-05-01,101.8521
1978-06-01,101.9661
1978-07-01,102.0217
1978-08-01,102.0104
1978-09-01,101.9343
1978-10-01,101.7997
1978-11-01,101.6261
1978-12-01,101.4461
1979-01-01,101.2866
1979-02-01,101.1317
1979-03-01,100.9535
1979-04-01,100.7395
1979-05-01,100.5063
1979-06-01,100.2645
1979-07-01,100.0258
1979-08-01,99.80067
1979-09-01,99.5807
1979-10-01,99.34786
1979-11-01,99.09998
1979-12-01,98.84312
1980-01-01,98.57851
1980-02-01,98.29086
1980-03-01,98.01623
1980-04-01,97.86433
1980-05-01,97.91743
1980-06-01,98.20581
1980-07-01,98.66565
1980-08-01,99.18262
1980-09-01,99.6339
1980-10-01,99.9305
1980-11-01,100.0492
1980-12-01,100.0306
1981-01-01,99.94303
1981-02-01,99.8328
1981-03-01,99.72244
1981-04-01,99.58408
1981-05-01,99.39135
1981-06-01,99.15803
1981-07-01,98.91457
1981-08-01,98.66516
1981-09-01,98.39061
1981-10-01,98.10247
1981-11-01,97.81953
1981-12-01,97.5635
1982-01-01,97.32259
1982-02-01,97.07986
1982-03-01,96.8613
1982-04-01,96.70891
1982-05-01,96.63784
1982-06-01,96.65383
1982-07-01,96.74605
1982-08-01,96.90195
1982-09-01,97.12507
1982-10-01,97.41024
1982-11-01,97.76778
1982-12-01,98.2055
1983-01-01,98.7117
1983-02-01,99.26214
1983-03-01,99.82935
1983-04-01,100.3834
1983-05-01,100.8929
1983-06-01,101.3283
1983-07-01,101.6752
1983-08-01,101.9342
1983-09-01,102.1235
1983-10-01,102.2503
1983-11-01,102.3197
1983-12-01,102.3335
1984-01-01,102.2952
1984-02-01,102.195
1984-03-01,102.0264
1984-04-01,101.797
1984-05-01,101.5331
1984-06-01,101.2565
1984-07-01,100.9957
1984-08-01,100.7677
1984-09-01,100.5873
1984-10-01,100.4605
1984-11-01,100.3748
1984-12-01,100.3112
1985-01-01,100.2619
1985-02-01,100.2156
1985-03-01,100.1774
1985-04-01,100.1464
1985-05-01,100.1191
1985-06-01,100.0957
1985-07-01,100.0669
1985-08-01,100.041
1985-09-01,100.0225
1985-10-01,100.0172
1985-11-01,100.0307
1985-12-01,100.0593
1986-01-01,100.083
1986-02-01,100.091
1986-03-01,100.0841
1986-04-01,100.0704
1986-05-01,100.0543
1986-06-01,100.0257
1986-07-01,99.98146
1986-08-01,99.93508
1986-09-01,99.8949
1986-10-01,99.87063
1986-11-01,99.88251
1986-12-01,99.95435
1987-01-01,100.0953
1987-02-01,100.2845
1987-03-01,100.4816
1987-04-01,100.6614
1987-05-01,100.81
1987-06-01,100.9134
1987-07-01,100.9546
1987-08-01,100.9148
1987-09-01,100.7986
1987-10-01,100.6331
1987-11-01,100.4654
1987-12-01,100.3484
1988-01-01,100.2884
1988-02-01,100.2777
1988-03-01,100.3057
1988-04-01,100.3594
1988-05-01,100.4271
1988-06-01,100.4895
1988-07-01,100.5272
1988-08-01,100.5441
1988-09-01,100.5484
1988-10-01,100.5478
1988-11-01,100.5425
1988-12-01,100.5257
1989-01-01,100.477
1989-02-01,100.3802
1989-03-01,100.2417
1989-04-01,100.0857
1989-05-01,99.93597
1989-06-01,99.82004
1989-07-01,99.74884
1989-08-01,99.7208
1989-09-01,99.72266
1989-10-01,99.73515
1989-11-01,99.75607
1989-12-01,99.78288
1990-01-01,99.81333
1990-02-01,99.84049
1990-03-01,99.83984
1990-04-01,99.77232
1990-05-01,99.61871
1990-06-01,99.36127
1990-07-01,99.00511
1990-08-01,98.57829
1990-09-01,98.14633
1990-10-01,97.77141
1990-11-01,97.51247
1990-12-01,97.4102
1991-01-01,97.46426
1991-02-01,97.65934
1991-03-01,97.94866
1991-04-01,98.27773
1991-05-01,98.60797
1991-06-01,98.90974
1991-07-01,99.14071
1991-08-01,99.26601
1991-09-01,99.29153
1991-10-01,99.24661
1991-11-01,99.18011
1991-12-01,99.14919
1992-01-01,99.19389
1992-02-01,99.30666
1992-03-01,99.45885
1992-04-01,99.59687
1992-05-01,99.68439
1992-06-01,99.71067
1992-07-01,99.70096
1992-08-01,99.69196
1992-09-01,99.72227
1992-10-01,99.81342
1992-11-01,99.94527
1992-12-01,100.0635
1993-01-01,100.1212
1993-02-01,100.1061
1993-03-01,100.0242
1993-04-01,99.90348
1993-05-01,99.76301
1993-06-01,99.64481
1993-07-01,99.58023
1993-08-01,99.59232
1993-09-01,99.6864
1993-10-01,99.85351
1993-11-01,100.0658
1993-12-01,100.3008
1994-01-01,100.521
1994-02-01,100.7007
1994-03-01,100.8355
1994-04-01,100.9213
1994-05-01,100.9601
1994-06-01,100.9571
1994-07-01,100.9255
1994-08-01,100.8787
1994-09-01,100.818
1994-10-01,100.7366
1994-11-01,100.6139
1994-12-01,100.4399
1995-01-01,100.2097
1995-02-01,99.92545
1995-03-01,99.61501
1995-04-01,99.32603
1995-05-01,99.09779
1995-06-01,98.94574
1995-07-01,98.85793
1995-08-01,98.80331
1995-09-01,98.75618
1995-10-01,98.71662
1995-11-01,98.69784
1995-12-01,98.7131
1996-01-01,98.77291
1996-02-01,98.8839
1996-03-01,99.035
1996-04-01,99.19447
1996-05-01,99.3437
1996-06-01,99.46487
1996-07-01,99.54958
1996-08-01,99.61668
1996-09-01,99.6805
1996-10-01,99.74556
1996-11-01,99.81942
1996-12-01,99.89876
1997-01-01,99.99177
1997-02-01,100.106
1997-03-01,100.2291
1997-04-01,100.3569
1997-05-01,100.4846
1997-06-01,100.607
1997-07-01,100.7142
1997-08-01,100.7913
1997-09-01,100.843
1997-10-01,100.8702
1997-11-01,100.8681
1997-12-01,100.8357
1998-01-01,100.7889
1998-02-01,100.7279
1998-03-01,100.6364
1998-04-01,100.5117
1998-05-01,100.3554
1998-06-01,100.1778
1998-07-01,100.0065
1998-08-01,99.86337
1998-09-01,99.77712
1998-10-01,99.77876
1998-11-01,99.87112
1998-12-01,100.0213
1999-01-01,100.2065
1999-02-01,100.395
1999-03-01,100.5647
1999-04-01,100.7134
1999-05-01,100.8409
1999-06-01,100.9379
1999-07-01,101.0074
1999-08-01,101.0579
1999-09-01,101.1023
1999-10-01,101.148
1999-11-01,101.1954
1999-12-01,101.2284
2000-01-01,101.2235
2000-02-01,101.1658
2000-03-01,101.0802
2000-04-01,100.9746
2000-05-01,100.8442
2000-06-01,100.697
2000-07-01,100.5336
2000-08-01,100.3411
2000-09-01,100.1168
2000-10-01,99.84575
2000-11-01,99.53703
2000-12-01,99.20428
2001-01-01,98.90028
2001-02-01,98.66687
2001-03-01,98.51558
2001-04-01,98.43899
2001-05-01,98.41459
2001-06-01,98.39322
2001-07-01,98.35278
2001-08-01,98.29589
2001-09-01,98.25891
2001-10-01,98.30439
2001-11-01,98.45556
2001-12-01,98.69349
2002-01-01,98.9692
2002-02-01,99.23076
2002-03-01,99.42764
2002-04-01,99.5098
2002-05-01,99.45938
2002-06-01,99.28414
2002-07-01,99.03129
2002-08-01,98.76104
2002-09-01,98.51003
2002-10-01,98.31223
2002-11-01,98.18129
2002-12-01,98.0932
2003-01-01,98.02883
2003-02-01,97.99784
2003-03-01,98.02911
2003-04-01,98.1471
2003-05-01,98.34695
2003-06-01,98.60476
2003-07-01,98.90762
2003-08-01,99.2458
2003-09-01,99.60869
2003-10-01,99.97696
2003-11-01,100.3207
2003-12-01,100.6097
2004-01-01,100.8281
2004-02-01,100.959
2004-03-01,101.0171
2004-04-01,101.0155
2004-05-01,100.9738
2004-06-01,100.901
2004-07-01,100.8032
2004-08-01,100.695
2004-09-01,100.6008
2004-10-01,100.537
2004-11-01,100.5113
2004-12-01,100.4995
2005-01-01,100.4692
2005-02-01,100.4142
2005-03-01,100.3446
2005-04-01,100.2931
2005-05-01,100.2827
2005-06-01,100.3113
2005-07-01,100.3567
2005-08-01,100.4218
2005-09-01,100.5187
2005-10-01,100.6568
2005-11-01,100.8225
2005-12-01,100.9799
2006-01-01,101.101
2006-02-01,101.1772
2006-03-01,101.2034
2006-04-01,101.1768
2006-05-01,101.1195
2006-06-01,101.0672
2006-07-01,101.0372
2006-08-01,101.0487
2006-09-01,101.1075
2006-10-01,101.1949
2006-11-01,101.2988
2006-12-01,101.41
2007-01-01,101.5179
2007-02-01,101.6232
2007-03-01,101.7319
2007-04-01,101.8351
2007-05-01,101.9135
2007-06-01,101.9542
2007-07-01,101.9427
2007-08-01,101.876
2007-09-01,101.779
2007-10-01,101.6702
2007-11-01,101.5545
2007-12-01,101.4426
2008-01-01,101.3258
2008-02-01,101.1931
2008-03-01,101.0466
2008-04-01,100.8642
2008-05-01,100.6157
2008-06-01,100.2665
2008-07-01,99.78567
2008-08-01,99.16016
2008-09-01,98.40291
2008-10-01,97.57042
2008-11-01,96.77334
2008-12-01,96.10251
2009-01-01,95.6155
2009-02-01,95.3459
2009-03-01,95.30939
2009-04-01,95.49648
2009-05-01,95.84531
2009-06-01,96.29185
2009-07-01,96.77999
2009-08-01,97.27346
2009-09-01,97.74572
2009-10-01,98.18285
2009-11-01,98.5845
2009-12-01,98.95368
2010-01-01,99.27216
2010-02-01,99.50831
2010-03-01,99.66566
2010-04-01,99.72921
2010-05-01,99.70831
2010-06-01,99.63864
2010-07-01,99.57851
2010-08-01,99.57319
2010-09-01,99.63367
2010-10-01,99.74897
2010-11-01,99.91078
2010-12-01,100.0835
2011-01-01,100.2302
2011-02-01,100.3192
2011-03-01,100.3181
2011-04-01,100.2247
2011-05-01,100.0492
2011-06-01,99.81157
2011-07-01,99.55637
2011-08-01,99.34052
2011-09-01,99.22665
2011-10-01,99.2426
2011-11-01,99.37043
2011-12-01,99.56333
2012-01-01,99.75617
2012-02-01,99.89115
2012-03-01,99.94395
2012-04-01,99.91798
2012-05-01,99.83439
2012-06-01,99.72973
2012-07-01,99.64983
2012-08-01,99.61892
2012-09-01,99.64855
2012-10-01,99.71512
2012-11-01,99.80225
2012-12-01,99.91215
2013-01-01,100.0398
2013-02-01,100.17
2013-03-01,100.2792
2013-04-01,100.3812
2013-05-01,100.4823
2013-06-01,100.5623
2013-07-01,100.611
2013-08-01,100.64
2013-09-01,100.6522
2013-10-01,100.6561
2013-11-01,100.6596
2013-12-01,100.6531
2014-01-01,100.6421
2014-02-01,100.6572
2014-03-01,100.6986
2014-04-01,100.7503
2014-05-01,100.7957
2014-06-01,100.8292
2014-07-01,100.846
2014-08-01,100.8486
2014-09-01,100.8381
2014-10-01,100.8113
2014-11-01,100.7686
2014-12-01,100.7052
2015-01-01,100.6224
2015-02-01,100.5264
2015-03-01,100.4264
2015-04-01,100.327
2015-05-01,100.2221
2015-06-01,100.1078
2015-07-01,99.96508
2015-08-01,99.80469
2015-09-01,99.64994
2015-10-01,99.52224
2015-11-01,99.41467
2015-12-01,99.32087
2016-01-01,99.24446
2016-02-01,99.19215
2016-03-01,99.1731
2016-04-01,99.17165
2016-05-01,99.17371
2016-06-01,99.17411
2016-07-01,99.18951
2016-08-01,99.23176
2016-09-01,99.31293
2016-10-01,99.42847
2016-11-01,99.56319
2016-12-01,99.69708
2017-01-01,99.80352
2017-02-01,99.87235
2017-03-01,99.90405
2017-04-01,99.91348
2017-05-01,99.91911
2017-06-01,99.93415
2017-07-01,99.96452
2017-08-01,100.033
2017-09-01,100.131
2017-10-01,100.2471
2017-11-01,100.3643
2017-12-01,100.4772
2018-01-01,100.5871
2018-02-01,100.6859
2018-03-01,100.7467
2018-04-01,100.7645
2018-05-01,100.7493
2018-06-01,100.7076
2018-07-01,100.6413
2018-08-01,100.5526
2018-09-01,100.4275
2018-10-01,100.2606
2018-11-01,100.0662
2018-12-01,99.86469
2019-01-01,99.67632
2019-02-01,99.5174
2019-03-01,99.38998
2019-04-01,99.27512
2019-05-01,99.17093
2019-06-01,99.08028
2019-07-01,99.00743
2019-08-01,98.96103
2019-09-01,98.96491
2019-10-01,99.01381
2019-11-01,99.08697
2019-12-01,99.15616
2020-01-01,99.18732
2020-02-01,99.15326
2020-03-01,97.89362
2020-04-01,93.4837
2020-05-01,94.9228
2020-06-01,96.59299
2020-07-01,97.98195
2020-08-01,98.58877
2020-09-01,98.8585
2020-10-01,99.18831
2020-11-01,99.54637
2020-12-01,99.92159
2021-01-01,100.2579
2021-02-01,100.5935
2021-03-01,100.8863
2021-04-01,101.131
2021-05-01,101.2037
2021-06-01,101.2113
2021-07-01,101.1688
2021-08-01,101.1064
2021-09-01,101.0549
2021-10-01,101.0183
2021-11-01,100.9874
2021-12-01,100.9415
2022-01-01,100.8647
2022-02-01,100.7504
2022-03-01,100.5853
2022-04-01,100.368
2022-05-01,100.1016
2022-06-01,99.82359
2022-07-01,99.57864
2022-08-01,99.38433
2022-09-01,99.22839
2022-10-01,99.10165
2022-11-01,99.00354
2022-12-01,98.94633
2023-01-01,98.92989
2023-02-01,98.93414
2023-03-01,98.95952
2023-04-01,99.02001
2023-05-01,99.11296
2023-06-01,99.2275
2023-07-01,99.33507
2023-08-01,99.42046
2023-09-01,99.48235
2023-10-01,99.53435
2023-11-01,99.60859
2023-12-01,99.71788
2024-01-01,99.85411
